method,n,coverage_mean,coverage_se,nmse_mean,nmse_se,scaled_remainder_mean,scaled_remainder_se
ema_099,8595,0.195,0.01811160685942313,179.0036569038762,26.276563237360712,47.786666630867686,2.8781400959247048
ema_099,9287,0.201,0.017950267998336995,166.27862270213674,24.35466222339124,46.056319069658024,2.7647830044950368
ema_099,10034,0.209,0.018968075252588985,154.2822455495672,22.54513983437526,44.38238457812203,2.6595750996229817
ema_099,10841,0.214,0.019385509531554223,143.22850781536496,20.846865289188933,42.70352215865646,2.5557618283096417
ema_099,11714,0.223,0.01958431654527302,133.02364159759765,19.295086119744543,41.270543463036,2.4564217394980217
ema_099,12657,0.23399999999999999,0.020754456744214594,123.46656947748423,17.908436902864516,39.79759959665326,2.361256172500755
ema_099,13675,0.242,0.02075250988836451,114.64623275273144,16.631794796144646,38.47039177996117,2.2791975357338887
ema_099,14776,0.25,0.02157907703439991,106.35250086625234,15.407602485358453,37.06253721660368,2.209689155267339
ema_099,15965,0.253,0.02052123807476567,98.64693045823782,14.23639581985751,35.817714416938,2.1274012988417894
ema_099,17249,0.259,0.02069963157823702,91.48356631354274,13.155789989326689,34.576889493501824,2.0365240024964804
ema_099,18637,0.257,0.02118962010041709,84.9789554593946,12.17167786796455,33.40859875760554,1.9592508324413243
ema_099,20137,0.267,0.02211334438749598,78.85858520751538,11.219485300824589,32.207245195713,1.8708370027007608
ema_099,21758,0.28300000000000003,0.02229530910485002,73.31433400934567,10.361195980953966,31.101878775008718,1.7930540888158224
ema_099,23509,0.295,0.022890825651118375,68.29006224098563,9.629776134818375,30.054970925268446,1.7219789532301597
ema_099,25401,0.295,0.02262451517422389,63.32577302361221,8.934104207565175,28.98056488293782,1.6530260468212863
ema_099,27445,0.312,0.022886633212379222,58.83001605473278,8.292639381701967,27.865146239670707,1.5799369129660734
ema_099,29653,0.318,0.02249040199325441,54.52743479417075,7.672230034134377,26.800769923487987,1.5061955803309022
ema_099,32040,0.32799999999999996,0.02287780451428719,50.67968261917343,7.124533622307828,25.845264717473174,1.4353332673293493
ema_099,34618,0.332,0.023132468763863295,46.976421645114705,6.614185709704915,24.871596325725836,1.397820306465945
ema_099,37404,0.344,0.02345509356496823,43.45653620217379,6.120982888761762,24.092735964417855,1.3438042681205637
ema_099,40414,0.35700000000000004,0.023921377954296934,40.2638615436337,5.633023467058562,23.19054713309515,1.2991008575411753
ema_099,43666,0.36700000000000005,0.023572582944316193,37.43481638574111,5.188323358719621,22.29647497030682,1.2573658446528946
ema_099,47180,0.373,0.023777376566047746,34.87616864055694,4.761105789329056,21.57523144260808,1.2053194745959077
ema_099,50976,0.37200000000000005,0.024621580416825852,32.532049709842966,4.423118451138417,20.920819867040763,1.1552630528428052
ema_099,55079,0.385,0.024633679826980413,30.50719558346727,4.139081289822018,20.31479000194016,1.110583875014051
ema_099,59511,0.39299999999999996,0.0242984390736142,28.45913553831799,3.820965616368303,19.74578199033247,1.0729702138299224
ema_099,64300,0.405,0.024261829354695487,26.464812466068324,3.513904890773584,19.082604493731527,1.0434191566319753
ema_099,69474,0.41200000000000003,0.024588738491554636,24.50049490967735,3.2520233632048927,18.43173807198396,1.0035516088990184
ema_099,75065,0.434,0.02470921800756662,22.794674661100643,3.0048795960582675,17.622154569857578,0.9610962849471194
ema_099,81106,0.43799999999999994,0.024650281208058535,21.24914034893171,2.7636098274559115,17.166761985735754,0.9179599342181449
ema_099,87632,0.451,0.02472045731981935,19.815230118895784,2.547906988173457,16.666393176563798,0.8807076309654269
ema_099,94684,0.46,0.023613042107609887,18.458150220001652,2.343078133836216,16.111195804244826,0.836119738435754
ema_099,102304,0.48,0.02424621182533032,17.46054501405165,2.204947096885861,15.624482888217067,0.8079637812560089
ema_099,110537,0.479,0.02409136649079789,16.309490857540844,2.068394580095121,15.190643240848637,0.7750770019598135
ema_099,119432,0.48,0.023224856068314814,15.263846421324706,1.953804745723232,14.717629522755368,0.7438341898984511
ema_099,129043,0.496,0.02309051140992155,14.34219778830709,1.8157150437773875,14.307603110801033,0.7207539777360008
ema_099,139427,0.506,0.023390406390465114,13.525259172147702,1.6904677441793226,13.87452760856495,0.6990504576520704
ema_099,150647,0.517,0.023443678478559223,12.753838736588024,1.5813770336630628,13.505396986553059,0.6780440097744723
ema_099,162770,0.524,0.02305548862105411,11.998258737242843,1.4716717747921901,13.19241901404192,0.6518644347804832
ema_099,175868,0.537,0.023122641839905877,11.276453801685605,1.3561274452603,12.887097895950639,0.6185132156216293
