mode,d,kappa,eps,seeds,method,n,cov_plugin_mean,cov_plugin_se,cov_oracle_mean,cov_oracle_se,cov_oracle_raw_mean,cov_emp_mean,cov_emp_se,vhat_vs_sigma_mean,vhat_vs_emp_mean,nmse_mean,nmse_se,nmse_raw_mean
anchor,21,7.005,1.0,200,rmsprop,10985,0.874047619047619,0.0053575483082856,0.86,0.00543926185904044,0.8616666666666667,0.9507142857142857,0.0036882080116588532,0.31347679323330935,0.9664592858191022,5.58414560808778,1.2982081884687755,5.501134319638939
anchor,21,7.005,1.0,200,rmsprop,19383,0.8916666666666667,0.005206976458128464,0.8811904761904762,0.005040854524482042,0.8828571428571428,0.9488095238095238,0.0036503211058105775,0.1950223185948483,0.9460561847641644,3.778547276791475,0.7698464780131915,3.722377165923121
anchor,21,7.005,1.0,200,rmsprop,34199,0.9052380952380952,0.004591222005086913,0.8988095238095238,0.004652212306235569,0.9004761904761905,0.9523809523809524,0.0034754184288871472,0.12311897884904763,0.903042452249257,2.6365821298348546,0.44241406066364636,2.5973879370147763
anchor,21,7.005,1.0,200,rmsprop,60341,0.9147619047619047,0.004304285624409033,0.9116666666666667,0.004380482875889338,0.9130952380952381,0.9473809523809524,0.0035145020428848477,0.08071238013444998,0.8269749633902375,1.9912481557365913,0.2553053466552613,1.9616471949755272
anchor,21,7.005,1.0,200,rmsprop,106467,0.9238095238095237,0.004269865139640193,0.9211904761904762,0.004251109930586183,0.9228571428571428,0.9547619047619048,0.003536359689975099,0.054463179478599695,0.7091246858885458,1.5959455610380318,0.14964355974183582,1.5722209831681246
anchor,21,7.005,1.0,200,rmsprop,187851,0.9347619047619047,0.0039842383660224565,0.934047619047619,0.003931950876653802,0.9361904761904762,0.9533333333333333,0.003374949593270828,0.037243096215402206,0.5795344421710574,1.3619067006722896,0.09194846434525476,1.341661234686199
anchor,21,7.005,1.0,200,rmsprop,331445,0.9373809523809524,0.004155961703961655,0.9361904761904762,0.004154076284337029,0.9373809523809524,0.9507142857142857,0.0035303532497251455,0.025782438703587943,0.4500654884634684,1.2314983367892525,0.056707625381556666,1.2131914603511775
anchor,21,7.005,1.0,200,rmsprop,584803,0.9395238095238095,0.0036778822387728504,0.9392857142857143,0.0036503211058105775,0.9414285714285714,0.9523809523809524,0.0034754184288871472,0.01807000523727599,0.3438021308036345,1.1277955784930598,0.03634000289689339,1.1110302986009986
anchor,21,7.005,1.0,200,rmsprop,1031829,0.9457142857142857,0.003573063357201755,0.9452380952380952,0.0035524341350435676,0.9476190476190476,0.9523809523809524,0.0032023988547301456,0.012681211260989667,0.32889196136287213,1.0866778511895996,0.02963172864222306,1.0705238081386057
anchor,21,7.005,1.0,200,rmsprop,1820564,0.9454761904761905,0.0036730380992934753,0.945,0.00362148851578366,0.9469047619047619,0.9492857142857143,0.003525508408692611,0.008926893123994063,0.3015659329695442,1.0565463627942624,0.026413339204510326,1.0408402403116284
anchor,21,7.005,1.0,200,rmsprop,3212210,0.9471428571428571,0.003569074760752762,0.9473809523809524,0.0035787593265277887,0.9485714285714286,0.9502380952380952,0.0033467664240768155,0.0062768007782824185,0.2886833187165244,0.9927400926122558,0.02363613058938275,0.9779824842033331
anchor,21,7.005,1.0,200,rmsprop,5667636,0.9433333333333332,0.003927782774501766,0.9433333333333332,0.003927782774501766,0.9459523809523809,0.949047619047619,0.0036592457761061136,0.0045530421835187525,0.31131784913604654,1.0455258840836448,0.026146639903553384,1.0299835868665566
anchor,21,7.005,1.0,200,rmsprop,10000000,0.944047619047619,0.003957371214308365,0.9435714285714286,0.003980912250731141,0.9447619047619047,0.9502380952380952,0.0037482737587957826,0.0032970744227497663,0.3088038754432862,1.0340839491886298,0.02624895171336813,1.0187117424069714
